Textbox147,Textbox148,Textbox152,Table5Title_tbx3,Table5Title_tbx4,Textbox154,Textbox146,Textbox159,Table5Title_tbx2,Table5Title_tbx6
"Avocados: U.S. imports by value ($1,000)","Avocados: U.S. imports by volume (1,000 pounds)",Avocados: U.S. imports unit value ($ per pound),Avocados: U.S. import sources by value,Avocados: U.S. import sources by volume,"Avocados: U.S. exports by value ($1,000) ","Avocados: U.S. exports by volume (1,000 pounds)",Avocados: U.S. exports by unit value ($ per pound),Avocados: U.S. export destinations by value,Avocados: U.S. export destinations by volume

Textbox119,Textbox131,Textbox21,qq3,Textbox23,Textbox124,gen val mo_label,gen val mo_Chart4_CategoryGroup_label,gen val mo_Chart4_CategoryGroup_Chart4_CategoryGroup1_label,gen val mo_Chart4_CategoryGroup_Chart4_CategoryGroup1_Value_Y,stat_year3,gen_qty_mo8,gen_qty_mo9,gen_qty_yr3
,Fresh¹,Market year*,Quarter 2,Jun,Q2,,,,,2016,"104,369","368,797","1,916,917"
,Fresh¹,Market year*,Quarter 3,Jul,Q3,,,,,2016,"171,467","578,838","1,916,917"
,Fresh¹,Market year*,Quarter 3,Aug,Q3,,,,,2016,"164,853","578,838","1,916,917"
,Fresh¹,Market year*,Quarter 3,Sep,Q3,,,,,2016,"242,517","578,838","1,916,917"
,Fresh¹,Market year*,Quarter 4,Oct,Q4,,,,,2016,"239,007","573,137","1,916,917"
,Fresh¹,Market year*,Quarter 4,Nov,Q4,,,,,2016,"158,690","573,137","1,916,917"
,Fresh¹,Market year*,Quarter 4,Dec,Q4,,,,,2016,"175,439","573,137","1,916,917"
,Fresh¹,Market year*,Quarter 1,Jan,Q1,,,,,2015,"173,913","441,542","1,631,504"
,Fresh¹,Market year*,Quarter 1,Feb,Q1,,,,,2015,"124,449","441,542","1,631,504"
,Fresh¹,Market year*,Quarter 1,Mar,Q1,,,,,2015,"143,180","441,542","1,631,504"
,Fresh¹,Market year*,Quarter 2,Apr,Q2,,,,,2015,"127,595","389,191","1,631,504"
,Fresh¹,Market year*,Quarter 2,May,Q2,,,,,2015,"131,782","389,191","1,631,504"
,Fresh¹,Market year*,Quarter 2,Jun,Q2,,,,,2015,"129,814","389,191","1,631,504"
,Fresh¹,Market year*,Quarter 3,Jul,Q3,,,,,2015,"160,925","426,654","1,631,504"
,Fresh¹,Market year*,Quarter 3,Aug,Q3,,,,,2015,"129,984","426,654","1,631,504"
,Fresh¹,Market year*,Quarter 3,Sep,Q3,,,,,2015,"135,746","426,654","1,631,504"
,Fresh¹,Market year*,Quarter 4,Oct,Q4,,,,,2015,"129,008","374,117","1,631,504"
,Fresh¹,Market year*,Quarter 4,Nov,Q4,,,,,2015,"130,706","374,117","1,631,504"
,Fresh¹,Market year*,Quarter 4,Dec,Q4,,,,,2015,"114,402","374,117","1,631,504"
,Fresh¹,Market year*,Quarter 1,Jan,Q1,,,,,2014,"149,422","398,392","1,526,375"
,Fresh¹,Market year*,Quarter 1,Feb,Q1,,,,,2014,"111,138","398,392","1,526,375"
,Fresh¹,Market year*,Quarter 1,Mar,Q1,,,,,2014,"137,833","398,392","1,526,375"
,Fresh¹,Market year*,Quarter 2,Apr,Q2,,,,,2014,"123,645","373,555","1,526,375"
,Fresh¹,Market year*,Quarter 2,May,Q2,,,,,2014,"114,155","373,555","1,526,375"
,Fresh¹,Market year*,Quarter 2,Jun,Q2,,,,,2014,"135,756","373,555","1,526,375"
,Fresh¹,Market year*,Quarter 3,Jul,Q3,,,,,2014,"125,406","385,708","1,526,375"
,Fresh¹,Market year*,Quarter 3,Aug,Q3,,,,,2014,"110,745","385,708","1,526,375"
,Fresh¹,Market year*,Quarter 3,Sep,Q3,,,,,2014,"149,557","385,708","1,526,375"
,Fresh¹,Market year*,Quarter 4,Oct,Q4,,,,,2014,"135,718","368,719","1,526,375"
,Fresh¹,Market year*,Quarter 4,Nov,Q4,,,,,2014,"114,327","368,719","1,526,375"
,Fresh¹,Market year*,Quarter 4,Dec,Q4,,,,,2014,"118,674","368,719","1,526,375"
,Fresh¹,Market year*,Quarter 1,Jan,Q1,,,,,2013,"105,584","279,225","1,089,341"
,Fresh¹,Market year*,Quarter 1,Feb,Q1,,,,,2013,"68,668","279,225","1,089,341"
,Fresh¹,Market year*,Quarter 1,Mar,Q1,,,,,2013,"104,974","279,225","1,089,341"
,Fresh¹,Market year*,Quarter 2,Apr,Q2,,,,,2013,"93,601","262,522","1,089,341"
,Fresh¹,Market year*,Quarter 2,May,Q2,,,,,2013,"91,417","262,522","1,089,341"
,Fresh¹,Market year*,Quarter 2,Jun,Q2,,,,,2013,"77,504","262,522","1,089,341"
,Fresh¹,Market year*,Quarter 3,Jul,Q3,,,,,2013,"66,252","224,384","1,089,341"
,Fresh¹,Market year*,Quarter 3,Aug,Q3,,,,,2013,"72,171","224,384","1,089,341"
,Fresh¹,Market year*,Quarter 3,Sep,Q3,,,,,2013,"85,962","224,384","1,089,341"
,Fresh¹,Market year*,Quarter 4,Oct,Q4,,,,,2013,"120,382","323,210","1,089,341"
,Fresh¹,Market year*,Quarter 4,Nov,Q4,,,,,2013,"102,556","323,210","1,089,341"
,Fresh¹,Market year*,Quarter 4,Dec,Q4,,,,,2013,"100,272","323,210","1,089,341"
,Fresh¹,Market year*,Quarter 1,Jan,Q1,,,,,2012,"102,787","261,490","860,142"
,Fresh¹,Market year*,Quarter 1,Feb,Q1,,,,,2012,"72,417","261,490","860,142"
,Fresh¹,Market year*,Quarter 1,Mar,Q1,,,,,2012,"86,286","261,490","860,142"
,Fresh¹,Market year*,Quarter 2,Apr,Q2,,,,,2012,"82,345","205,625","860,142"
,Fresh¹,Market year*,Quarter 2,May,Q2,,,,,2012,"63,444","205,625","860,142"
,Fresh¹,Market year*,Quarter 2,Jun,Q2,,,,,2012,"59,836","205,625","860,142"
,Fresh¹,Market year*,Quarter 3,Jul,Q3,,,,,2012,"46,183","155,720","860,142"
,Fresh¹,Market year*,Quarter 3,Aug,Q3,,,,,2012,"58,385","155,720","860,142"
,Fresh¹,Market year*,Quarter 3,Sep,Q3,,,,,2012,"51,152","155,720","860,142"
,Fresh¹,Market year*,Quarter 4,Oct,Q4,,,,,2012,"82,295","237,307","860,142"
,Fresh¹,Market year*,Quarter 4,Nov,Q4,,,,,2012,"76,363","237,307","860,142"
,Fresh¹,Market year*,Quarter 4,Dec,Q4,,,,,2012,"78,649","237,307","860,142"
,Fresh¹,Market year*,Quarter 1,Jan,Q1,,,,,2011,"101,587","274,375","912,999"
,Fresh¹,Market year*,Quarter 1,Feb,Q1,,,,,2011,"75,227","274,375","912,999"
,Fresh¹,Market year*,Quarter 1,Mar,Q1,,,,,2011,"97,560","274,375","912,999"
,Fresh¹,Market year*,Quarter 2,Apr,Q2,,,,,2011,"86,213","215,051","912,999"
,Fresh¹,Market year*,Quarter 2,May,Q2,,,,,2011,"66,860","215,051","912,999"
,Fresh¹,Market year*,Quarter 2,Jun,Q2,,,,,2011,"61,978","215,051","912,999"
,Fresh¹,Market year*,Quarter 3,Jul,Q3,,,,,2011,"36,879","199,524","912,999"
,Fresh¹,Market year*,Quarter 3,Aug,Q3,,,,,2011,"69,722","199,524","912,999"
,Fresh¹,Market year*,Quarter 3,Sep,Q3,,,,,2011,"92,924","199,524","912,999"
,Fresh¹,Market year*,Quarter 4,Oct,Q4,,,,,2011,"77,476","224,049","912,999"
,Fresh¹,Market year*,Quarter 4,Nov,Q4,,,,,2011,"70,680","224,049","912,999"
,Fresh¹,Market year*,Quarter 4,Dec,Q4,,,,,2011,"75,893","224,049","912,999"
,Fresh¹,Market year*,Quarter 1,Jan,Q1,,,,,2010,"66,200","180,013","574,698"
,Fresh¹,Market year*,Quarter 1,Feb,Q1,,,,,2010,"48,118","180,013","574,698"
,Fresh¹,Market year*,Quarter 1,Mar,Q1,,,,,2010,"65,695","180,013","574,698"
,Fresh¹,Market year*,Quarter 2,Apr,Q2,,,,,2010,"51,758","128,878","574,698"
,Fresh¹,Market year*,Quarter 2,May,Q2,,,,,2010,"41,807","128,878","574,698"
,Fresh¹,Market year*,Quarter 2,Jun,Q2,,,,,2010,"35,313","128,878","574,698"
,Fresh¹,Market year*,Quarter 3,Jul,Q3,,,,,2010,"29,989","89,836","574,698"
,Fresh¹,Market year*,Quarter 3,Aug,Q3,,,,,2010,"24,075","89,836","574,698"
,Fresh¹,Market year*,Quarter 3,Sep,Q3,,,,,2010,"35,773","89,836","574,698"
,Fresh¹,Market year*,Quarter 4,Oct,Q4,,,,,2010,"46,616","175,971","574,698"
,Fresh¹,Market year*,Quarter 4,Nov,Q4,,,,,2010,"56,786","175,971","574,698"
,Fresh¹,Market year*,Quarter 4,Dec,Q4,,,,,2010,"72,570","175,971","574,698"
,Fresh¹,Market year*,Quarter 1,Jan,Q1,,,,,2009,"69,880","189,100","711,177"
,Fresh¹,Market year*,Quarter 1,Feb,Q1,,,,,2009,"52,776","189,100","711,177"
,Fresh¹,Market year*,Quarter 1,Mar,Q1,,,,,2009,"66,444","189,100","711,177"
,Fresh¹,Market year*,Quarter 2,Apr,Q2,,,,,2009,"69,952","184,849","711,177"
,Fresh¹,Market year*,Quarter 2,May,Q2,,,,,2009,"54,434","184,849","711,177"
,Fresh¹,Market year*,Quarter 2,Jun,Q2,,,,,2009,"60,462","184,849","711,177"
,Fresh¹,Market year*,Quarter 3,Jul,Q3,,,,,2009,"48,126","175,141","711,177"
,Fresh¹,Market year*,Quarter 3,Aug,Q3,,,,,2009,"65,198","175,141","711,177"
,Fresh¹,Market year*,Quarter 3,Sep,Q3,,,,,2009,"61,818","175,141","711,177"
,Fresh¹,Market year*,Quarter 4,Oct,Q4,,,,,2009,"61,124","162,087","711,177"
,Fresh¹,Market year*,Quarter 4,Nov,Q4,,,,,2009,"49,005","162,087","711,177"
,Fresh¹,Market year*,Quarter 4,Dec,Q4,,,,,2009,"51,957","162,087","711,177"
,,,,,,gen val mo,2009,,7839.359,,,,
,,,,,,gen val mo,2009,,6216.894,,,,
,,,,,,gen val mo,2009,,6794.928,,,,
,,,,,,gen val mo,2009,,6771.567,,,,
,,,,,,gen val mo,2009,,5493.001,,,,
,,,,,,gen val mo,2009,,6031.129,,,,
,,,,,,gen val mo,2009,,6509.538,,,,
,,,,,,gen val mo,2009,,6490.415,,,,
,,,,,,gen val mo,2009,,5685.071,,,,
,,,,,,gen val mo,2009,,7710.016,,,,
,,,,,,gen val mo,2009,,6979.055,,,,
,,,,,,gen val mo,2009,,7683.675,,,,
,,,,,,gen val mo,2010,,7449.245,,,,
,,,,,,gen val mo,2010,,5902.236,,,,
,,,,,,gen val mo,2010,,7644.502,,,,
,,,,,,gen val mo,2010,,7090.173,,,,
,,,,,,gen val mo,2010,,7594.623,,,,
,,,,,,gen val mo,2010,,9535.484,,,,
,,,,,,gen val mo,2010,,9098.221,,,,
,,,,,,gen val mo,2010,,9549.174,,,,
,,,,,,gen val mo,2010,,8514.056,,,,
,,,,,,gen val mo,2010,,9278.309,,,,
,,,,,,gen val mo,2010,,10442.214,,,,
,,,,,,gen val mo,2010,,10794.398,,,,
,,,,,,gen val mo,2011,,11237.357,,,,
,,,,,,gen val mo,2011,,11901.031,,,,
,,,,,,gen val mo,2011,,11680.644,,,,
,,,,,,gen val mo,2011,,11529.568,,,,
,,,,,,gen val mo,2011,,11676.386,,,,
,,,,,,gen val mo,2011,,10880.207,,,,
,,,,,,gen val mo,2011,,9875.973,,,,
,,,,,,gen val mo,2011,,11590.9,,,,
,,,,,,gen val mo,2011,,11154.669,,,,
,,,,,,gen val mo,2011,,13884.272,,,,
,,,,,,gen val mo,2011,,13046.859,,,,
,,,,,,gen val mo,2011,,12075.634,,,,
,,,,,,gen val mo,2012,,12910.585,,,,
,,,,,,gen val mo,2012,,11158.325,,,,
,,,,,,gen val mo,2012,,12408.995,,,,
,,,,,,gen val mo,2012,,11805.89,,,,
,,,,,,gen val mo,2012,,13831.332,,,,
,,,,,,gen val mo,2012,,15660.206,,,,
,,,,,,gen val mo,2012,,14155.81,,,,
,,,,,,gen val mo,2012,,14630.425,,,,
,,,,,,gen val mo,2012,,11203.803,,,,
,,,,,,gen val mo,2012,,13840.305,,,,
,,,,,,gen val mo,2012,,11720.956,,,,
,,,,,,gen val mo,2012,,12500.084,,,,
,,,,,,gen val mo,2013,,15062.646,,,,
,,,,,,gen val mo,2013,,11034.991,,,,
,,,,,,gen val mo,2013,,12291.887,,,,
,,,,,,gen val mo,2013,,12000.567,,,,
,,,,,,gen val mo,2013,,11739.2,,,,
,,,,,,gen val mo,2013,,11329.917,,,,
,,,,,,gen val mo,2013,,11550.939,,,,
,,,,,,gen val mo,2013,,12166.826,,,,
,,,,,,gen val mo,2013,,10059.787,,,,
,,,,,,gen val mo,2013,,12931.045,,,,
,,,,,,gen val mo,2013,,13171.469,,,,
,,,,,,gen val mo,2013,,14213.091,,,,
,,,,,,gen val mo,2014,,17374.325,,,,
,,,,,,gen val mo,2014,,12222.89,,,,
,,,,,,gen val mo,2014,,13594.174,,,,
,,,,,,gen val mo,2014,,13475.238,,,,
,,,,,,gen val mo,2014,,15456.177,,,,
,,,,,,gen val mo,2014,,17105.981,,,,
,,,,,,gen val mo,2014,,15207.323,,,,
,,,,,,gen val mo,2014,,15329.139,,,,
,,,,,,gen val mo,2014,,13729.155,,,,
,,,,,,gen val mo,2014,,14806.667,,,,
,,,,,,gen val mo,2014,,13070.614,,,,
,,,,,,gen val mo,2014,,15312.168,,,,
,,,,,,gen val mo,2015,,17188.232,,,,
,,,,,,gen val mo,2015,,14644.127,,,,
,,,,,,gen val mo,2015,,14535.529,,,,
,,,,,,gen val mo,2015,,17538.588,,,,
,,,,,,gen val mo,2015,,17917.314,,,,
,,,,,,gen val mo,2015,,19631.41,,,,
,,,,,,gen val mo,2015,,17602.767,,,,
,,,,,,gen val mo,2015,,16584.252,,,,
,,,,,,gen val mo,2015,,15911.214,,,,
,,,,,,gen val mo,2015,,18499.289,,,,
,,,,,,gen val mo,2015,,17560.069,,,,
,,,,,,gen val mo,2015,,17385.566,,,,
,,,,,,gen val mo,2016,,20105.314,,,,
,,,,,,gen val mo,2016,,17744.186,,,,
,,,,,,gen val mo,2016,,18026.703,,,,
,,,,,,gen val mo,2016,,19825.121,,,,
,,,,,,gen val mo,2016,,18236.022,,,,
,,,,,,gen val mo,2016,,16053.54,,,,
,,,,,,gen val mo,2016,,15439.638,,,,
,,,,,,gen val mo,2016,,16186.213,,,,
,,,,,,gen val mo,2016,,15242.421,,,,
,,,,,,gen val mo,2016,,19352.682,,,,
,,,,,,gen val mo,2016,,21050.736,,,,
,,,,,,gen val mo,2016,,24000.635,,,,
,,,,,,gen val mo,2017,,22897.058,,,,
,,,,,,gen val mo,2017,,19496.13,,,,
,,,,,,gen val mo,2017,,21202.921,,,,
,,,,,,gen val mo,2017,,23618.591,,,,
,,,,,,gen val mo,2017,,25239.099,,,,
,,,,,,gen val mo,2017,,25247.63,,,,
,,,,,,gen val mo,2017,,23941.725,,,,
,,,,,,gen val mo,2017,,25948.743,,,,
,,,,,,gen val mo,2017,,24436.671,,,,
,,,,,,gen val mo,2017,,31963.951,,,,
,,,,,,gen val mo,2017,,30568.514,,,,
,,,,,,gen val mo,2017,,28954.041,,,,
,,,,,,gen val mo,2018,,33959.405,,,,
,,,,,,gen val mo,2018,,30516.251,,,,
,,,,,,gen val mo,2018,,32528.1,,,,
,,,,,,gen val mo,2018,,34651.228,,,,
,,,,,,gen val mo,2018,,32812.562,,,,
,,,,,,gen val mo,2018,,29591.882,,,,
,,,,,,gen val mo,2018,,29473.116,,,,
,,,,,,gen val mo,2018,,33842.561,,,,
,,,,,,gen val mo,2018,,28457.887,,,,
,,,,,,gen val mo,2018,,34245.54,,,,
,,,,,,gen val mo,2018,,27297.977,,,,
,,,,,,gen val mo,2018,,29311.563,,,,
,Prepared or preserved ,Market year*,Quarter 1,Jan,Q1,,,,,2018,"33,959","97,004","376,688"
,Prepared or preserved ,Market year*,Quarter 1,Feb,Q1,,,,,2018,"30,516","97,004","376,688"
,Prepared or preserved ,Market year*,Quarter 1,Mar,Q1,,,,,2018,"32,528","97,004","376,688"
